start_ip,end_ip,join_key,city,region,country,latitude,longitude,postal_code,timezone
2633:b9c0:8000::,2633:b9c0:bfff:ffff:ffff:ffff:ffff:ffff,2633:b9c0:8000::,New York City,New York,US,40.71427,-74.00597,10001,America/New_York
240f:54:f15:100::,240f:54:f37:ffff:ffff:ffff:ffff:ffff,240f:54::,Sendai,Miyagi,JP,38.26667,140.86667,980-0014,Asia/Tokyo
81.88.104.9,81.88.104.47,81.88.0.0,Paris,Île-de-France,FR,48.85341,2.3488,75000,Europe/Paris
2a02:1630:ca00:113::,2a02:1630:ca00:113:ffff:ffff:ffff:ffff,2a02:1630:c000::,Milan,Lombardy,IT,45.46427,9.18951,20121,Europe/Rome
2409:4042:2e96:7900::,2409:4042:2e96:79ff:ffff:ffff:ffff:ffff,2409:4042::,Satānā,Maharashtra,IN,20.59483,74.20301,423301,Asia/Kolkata
2a04:1658:8000::,2a04:1658:bfff:ffff:ffff:ffff:ffff:ffff,2a04:1658:8000::,Amsterdam,North Holland,NL,52.37403,4.88969,1012,Europe/Amsterdam
2409:895a:2f26:f00::,2409:895a:2f26:fff:ffff:ffff:ffff:ffff,2409:895a::,Hefei,Anhui,CN,31.86389,117.28083,230000,Asia/Shanghai
2a01:476b:4000::,2a01:476b:7fff:ffff:ffff:ffff:ffff:ffff,2a01:476b:4000::,Amsterdam,North Holland,NL,52.37403,4.88969,1012,Europe/Amsterdam
2804:4d3c:3090::,2804:4d3c:3090:ff:ffff:ffff:ffff:ffff,2804:4d3c::,Pugmil,Tocantins,BR,-10.4247,-48.898,77603-000,America/Araguaina
2001:1890:1e3c:f00::,2001:1890:1e3c:fff:ffff:ffff:ffff:ffff,2001:1890::,Allen,Texas,US,33.0934,-96.6454,75002,America/Chicago
280f:f647::,280f:f647:3fff:ffff:ffff:ffff:ffff:ffff,280f:f647::,Montevideo,Montevideo Department,UY,-34.90328,-56.18816,11100,America/Montevideo
2607:fd27:4000::,2607:fd27:7fff:ffff:ffff:ffff:ffff:ffff,2607:fd27:4000::,New York City,New York,US,40.71427,-74.00597,10001,America/New_York
122.251.144.216,122.251.144.223,122.251.0.0,Shimonoseki,Yamaguchi,JP,33.95548,130.93713,750-0000,Asia/Tokyo
92.10.33.64,92.10.33.65,92.10.0.0,Brixton Hill,England,GB,51.45213,-0.123,E1W,Europe/London
71.208.78.154,71.208.78.154,71.208.0.0,Cape Coral,Florida,US,26.56285,-81.94953,33910,America/New_York
241f:f05f:8000::,241f:f05f:bfff:ffff:ffff:ffff:ffff:ffff,241f:f05f:8000::,Sydney,New South Wales,AU,-33.86785,151.20732,1001,Australia/Sydney
203.140.199.15,203.140.199.15,203.140.0.0,Osaka,Osaka,JP,34.69379,135.50107,543-0062,Asia/Tokyo
64.110.144.0,64.110.147.228,64.110.0.0,Backnang,Baden-Wurttemberg,DE,48.94743,9.43718,71522,Europe/Berlin
2413:1592:c000::,2413:1592:ffff:ffff:ffff:ffff:ffff:ffff,2413:1592:c000::,Sydney,New South Wales,AU,-33.86785,151.20732,1001,Australia/Sydney
96.10.228.104,96.10.228.107,96.10.0.0,Raleigh,North Carolina,US,35.7667,-78.6008,27610,America/New_York
240c:3bba::,240c:3bba:3fff:ffff:ffff:ffff:ffff:ffff,240c:3bba::,Sydney,New South Wales,AU,-33.86785,151.20732,1001,Australia/Sydney
2a02:c7f:687f::,2a02:c7f:687f:7fff:ffff:ffff:ffff:ffff,2a02:c7f:4000::,Taunton,England,GB,51.01494,-3.10293,TA1,Europe/London
36.91.138.136,36.91.138.143,36.91.0.0,Tanjung Pinang,Riau Islands,ID,0.91667,104.45833,,Asia/Jakarta
2003:f3:8740::,2003:f3:8740:ffff:ffff:ffff:ffff:ffff,2003:f3:8000::,Bruckmühl,Bavaria,DE,47.87859,11.91098,83052,Europe/Berlin
204.98.66.97,204.98.66.97,204.98.0.0,Fort Myers,Florida,US,26.62168,-81.84059,33916,America/New_York
2804:36b4:900d::,2804:36b4:900d:ff:ffff:ffff:ffff:ffff,2804:36b4:8000::,Campo Grande,Mato Grosso do Sul,BR,-20.44278,-54.64639,79000-000,America/Campo_Grande
179.85.134.186,179.85.134.191,179.85.0.0,Cambé,Paraná,BR,-23.27583,-51.27833,86180-000,America/Sao_Paulo
65.195.236.144,65.195.236.147,65.195.0.0,Milford Mill,Maryland,US,39.34788,-76.76997,21244,America/New_York
260b:3734:c000::,260b:3734:ffff:ffff:ffff:ffff:ffff:ffff,260b:3734:c000::,New York City,New York,US,40.71427,-74.00597,10001,America/New_York
14.240.96.16,14.240.96.17,14.240.0.0,Thủ Dầu Một,Bình Dương Province,VN,10.9804,106.6519,75150,Asia/Ho_Chi_Minh
2409:40f0:1018:d800::,2409:40f0:1018:dcff:ffff:ffff:ffff:ffff,2409:40f0::,Hyderābād,Telangana,IN,17.38405,78.45636,500001,Asia/Kolkata
2409:894d:1896:1000::,2409:894d:1897:ffff:ffff:ffff:ffff:ffff,2409:894d::,Shanghai,Shanghai,CN,31.22222,121.45806,200000,Asia/Shanghai
2c05:a699:c000::,2c05:a699:ffff:ffff:ffff:ffff:ffff:ffff,2c05:a699:c000::,Port Louis,Port Louis,MU,-20.16194,57.49889,,Indian/Mauritius
60.127.235.224,60.127.235.225,60.127.0.0,Kobe,Hyōgo,JP,34.6913,135.183,761-4146,Asia/Tokyo
2601:bfa4:4000::,2601:bfa4:7fff:ffff:ffff:ffff:ffff:ffff,2601:bfa4:4000::,New York City,New York,US,40.71427,-74.00597,10001,America/New_York
2a09:cf86:4000::,2a09:cf86:7fff:ffff:ffff:ffff:ffff:ffff,2a09:cf86:4000::,Spojil,Pardubický,CZ,50.02565,15.7988,530 03,Europe/Prague
2001:268:724a:bc00::,2001:268:724a:bcff:ffff:ffff:ffff:ffff,2001:268:4000::,Mejiro,Tokyo,JP,35.7242,139.70358,171-0031,Asia/Tokyo
240e:351:7026:c000::,240e:351:7026:d0ff:ffff:ffff:ffff:ffff,240e:351:4000::,Shanghai,Shanghai,CN,31.22222,121.45806,200000,Asia/Shanghai
5.210.215.96,5.210.215.105,5.210.0.0,Tehran,Tehran,IR,35.69439,51.42151,,Asia/Tehran
104.128.32.0,104.128.32.255,104.128.0.0,La Crosse,Kansas,US,38.5314,-99.30872,67548,America/Chicago
90.214.161.176,90.214.161.191,90.214.0.0,Morecambe,England,GB,54.06835,-2.86108,LA4,Europe/London
84.102.75.128,84.102.75.255,84.102.0.0,Saint-Chamond,Auvergne-Rhône-Alpes,FR,45.4759,4.51294,42400,Europe/Paris
189.234.10.38,189.234.10.38,189.234.0.0,Tepic,Nayarit,MX,21.50951,-104.89569,63197,America/Mazatlan
92.23.105.136,92.23.105.141,92.23.0.0,Leicester,England,GB,52.6386,-1.13169,LE1,Europe/London
2418:fd03:4000::,2418:fd03:7fff:ffff:ffff:ffff:ffff:ffff,2418:fd03:4000::,Sydney,New South Wales,AU,-33.86785,151.20732,1001,Australia/Sydney
98.0.247.188,98.0.247.191,98.0.0.0,New York City,New York,US,40.71427,-74.00597,10001,America/New_York
2638:c0c8:8000::,2638:c0c8:bfff:ffff:ffff:ffff:ffff:ffff,2638:c0c8:8000::,New York City,New York,US,40.71427,-74.00597,10001,America/New_York
71.215.89.211,71.215.89.211,71.215.0.0,North Fort Myers,Florida,US,26.66729,-81.88009,33918,America/New_York
46.254.103.130,46.254.103.130,46.254.0.0,Helsinki,Uusimaa,FI,60.16952,24.93545,00100,Europe/Helsinki
263c:c3bc:c000::,263c:c3bc:ffff:ffff:ffff:ffff:ffff:ffff,263c:c3bc:c000::,New York City,New York,US,40.71427,-74.00597,10001,America/New_York
2408:8215:1548:f000::,2408:8215:1548:f0ff:ffff:ffff:ffff:ffff,2408:8215::,Jinan,Shandong,CN,36.66833,116.99722,250000,Asia/Shanghai
2a08:a2ea:8000::,2a08:a2ea:bfff:ffff:ffff:ffff:ffff:ffff,2a08:a2ea:8000::,Amsterdam,North Holland,NL,52.37403,4.88969,1012,Europe/Amsterdam
2804:fa01:8000::,2804:fa01:bfff:ffff:ffff:ffff:ffff:ffff,2804:fa01:8000::,Montevideo,Montevideo Department,UY,-34.90328,-56.18816,11100,America/Montevideo
126.189.92.214,126.189.92.215,126.189.0.0,Yokohama,Kanagawa,JP,35.43333,139.65,220-8588,Asia/Tokyo
2409:4053:208e:2f00::,2409:4053:208e:2fff:ffff:ffff:ffff:ffff,2409:4053::,Pīlibhīt,Uttar Pradesh,IN,28.63124,79.80436,262001,Asia/Kolkata
260e:61e4::,260e:61e4:3fff:ffff:ffff:ffff:ffff:ffff,260e:61e4::,New York City,New York,US,40.71427,-74.00597,10001,America/New_York
2636:8258:4000::,2636:8258:7fff:ffff:ffff:ffff:ffff:ffff,2636:8258:4000::,New York City,New York,US,40.71427,-74.00597,10001,America/New_York
122.53.182.24,122.53.182.31,122.53.0.0,Paranaque City,Metro Manila,PH,14.48156,121.01749,1620,Asia/Manila
145.131.92.232,145.131.92.255,145.131.0.0,Herpen,North Brabant,NL,51.77167,5.64167,5373,Europe/Amsterdam
2a10:6c2b:c000::,2a10:6c2b:ffff:ffff:ffff:ffff:ffff:ffff,2a10:6c2b:c000::,Amsterdam,North Holland,NL,52.37403,4.88969,1012,Europe/Amsterdam
2607:4e76:4000::,2607:4e76:7fff:ffff:ffff:ffff:ffff:ffff,2607:4e76:4000::,New York City,New York,US,40.71427,-74.00597,10001,America/New_York
2c0e:c1ee:4000::,2c0e:c1ee:7fff:ffff:ffff:ffff:ffff:ffff,2c0e:c1ee:4000::,Port Louis,Port Louis,MU,-20.16194,57.49889,,Indian/Mauritius
179.227.103.136,179.227.103.141,179.227.0.0,São Paulo,São Paulo,BR,-23.5475,-46.63611,01000-000,America/Sao_Paulo
240e:33d:208d:f900::,240e:33d:208f:9aff:ffff:ffff:ffff:ffff,240e:33d::,Shanghai,Shanghai,CN,31.22222,121.45806,200000,Asia/Shanghai
71.212.208.58,71.212.208.58,71.212.0.0,Burien,Washington,US,47.47038,-122.34679,98062,America/Los_Angeles
2a0c:2252:8000::,2a0c:2252:bfff:ffff:ffff:ffff:ffff:ffff,2a0c:2252:8000::,Amsterdam,North Holland,NL,52.37403,4.88969,1012,Europe/Amsterdam
2001:4430:d282:9000::,2001:4430:d282:90ff:ffff:ffff:ffff:ffff,2001:4430:c000::,Seoul,Seoul,KR,37.566,126.9784,03141,Asia/Seoul
156.242.191.179,156.242.191.187,156.242.0.0,Amsterdam,North Holland,NL,52.37403,4.88969,1012,Europe/Amsterdam
2a10:d8c0:7fb:8f00::,2a10:d8c0:7fb:adff:ffff:ffff:ffff:ffff,2a10:d8c0::,Podolsk,Moscow Oblast,RU,55.42419,37.55472,142100,Europe/Moscow
157.125.78.124,157.125.78.143,157.125.0.0,London,England,GB,51.50853,-0.12574,E1W,Europe/London
2c08:b10d:c000::,2c08:b10d:ffff:ffff:ffff:ffff:ffff:ffff,2c08:b10d:c000::,Port Louis,Port Louis,MU,-20.16194,57.49889,,Indian/Mauritius
2418:c3fd:8000::,2418:c3fd:bfff:ffff:ffff:ffff:ffff:ffff,2418:c3fd:8000::,Sydney,New South Wales,AU,-33.86785,151.20732,1001,Australia/Sydney
112.198.0.203,112.198.0.204,112.198.0.0,Manila,Metro Manila,PH,14.6042,120.9822,1001,Asia/Manila
240a:61:32e3:3e00::,240a:61:32e3:3eff:ffff:ffff:ffff:ffff,240a:61::,Nonoichi,Ishikawa,JP,36.53333,136.61667,921-8801,Asia/Tokyo
46.245.140.54,46.245.140.54,46.245.0.0,Gérakas,Attica,GR,38.02277,23.8576,,Europe/Athens
130.81.124.179,130.81.124.179,130.81.0.0,Tampa,Florida,US,27.94752,-82.45843,33606,America/New_York
2802:a0be::,2802:a0be:3fff:ffff:ffff:ffff:ffff:ffff,2802:a0be::,Montevideo,Montevideo Department,UY,-34.90328,-56.18816,11100,America/Montevideo
50.45.38.213,50.45.38.213,50.45.0.0,Metropolis,Illinois,US,37.15117,-88.732,62960,America/Chicago
2800:2e0e:c000::,2800:2e0e:ffff:ffff:ffff:ffff:ffff:ffff,2800:2e0e:c000::,Buenos Aires,Buenos Aires F.D.,AR,-34.61315,-58.37723,1871,America/Argentina/Buenos_Aires
2c02:64e1:c000::,2c02:64e1:ffff:ffff:ffff:ffff:ffff:ffff,2c02:64e1:c000::,Port Louis,Port Louis,MU,-20.16194,57.49889,,Indian/Mauritius
200.238.73.200,200.238.73.207,200.238.0.0,Itapissuma,Pernambuco,BR,-7.77639,-34.89222,53700-000,America/Recife
124.186.102.248,124.186.103.23,124.186.0.0,Sydney,New South Wales,AU,-33.86785,151.20732,1001,Australia/Sydney
74.228.22.1,74.228.22.254,74.228.0.0,Miami,Florida,US,25.77427,-80.19366,33101,America/New_York
241c:e118:8000::,241c:e118:bfff:ffff:ffff:ffff:ffff:ffff,241c:e118:8000::,Sydney,New South Wales,AU,-33.86785,151.20732,1001,Australia/Sydney
2801:350d:c000::,2801:350d:ffff:ffff:ffff:ffff:ffff:ffff,2801:350d:c000::,Montevideo,Montevideo Department,UY,-34.90328,-56.18816,11100,America/Montevideo
201.59.67.70,201.59.67.76,201.59.0.0,São Paulo,São Paulo,BR,-23.5475,-46.63611,01000-000,America/Sao_Paulo
152.39.239.0,152.39.239.255,152.39.0.0,Wilmington,Delaware,US,39.7359,-75.6647,19808,America/New_York
2a10:8000:648c:100::,2a10:8000:648c:ffff:ffff:ffff:ffff:ffff,2a10:8000:4000::,Tel Aviv,Tel Aviv,IL,32.08088,34.78057,,Asia/Jerusalem
2804:33e8:a01:e500::,2804:33e8:a01:e9ff:ffff:ffff:ffff:ffff,2804:33e8::,São Paulo,São Paulo,BR,-23.5475,-46.63611,01000-000,America/Sao_Paulo
2408:822a:1401:4a00::,2408:822a:1401:4aff:ffff:ffff:ffff:ffff,2408:822a::,Shanghai,Shanghai,CN,31.22222,121.45806,200000,Asia/Shanghai
78.150.86.240,78.150.86.241,78.150.0.0,Andover,England,GB,51.21135,-1.49393,SP10,Europe/London
2401:4900:3e2b:2b00::,2401:4900:3e2b:2bff:ffff:ffff:ffff:ffff,2401:4900::,Shāhpur,Bihar,IN,25.60293,84.40412,802154,Asia/Kolkata
2409:4065:202:f400::,2409:4065:202:f4ff:ffff:ffff:ffff:ffff,2409:4065::,Duliajan,Assam,IN,27.36035,95.31806,786602,Asia/Kolkata
2a06:48d1:4000::,2a06:48d1:7fff:ffff:ffff:ffff:ffff:ffff,2a06:48d1:4000::,Amsterdam,North Holland,NL,52.37403,4.88969,1012,Europe/Amsterdam
217.165.124.0,217.165.124.255,217.165.0.0,Ajman City,Ajman,AE,25.40177,55.47878,32998 00675,Asia/Dubai
280e:c6b6::,280e:c6b6:3fff:ffff:ffff:ffff:ffff:ffff,280e:c6b6::,Montevideo,Montevideo Department,UY,-34.90328,-56.18816,11100,America/Montevideo
240e:360:8705:9c00::,240e:360:8705:9cff:ffff:ffff:ffff:ffff,240e:360:8000::,Hangzhou,Zhejiang,CN,30.29365,120.16142,310000,Asia/Shanghai
167.249.95.65,167.249.95.65,167.249.0.0,Cachoeirinha,Rio Grande do Sul,BR,-29.95111,-51.09389,94900-000,America/Sao_Paulo
2c04:63f6:8000::,2c04:63f6:bfff:ffff:ffff:ffff:ffff:ffff,2c04:63f6:8000::,Port Louis,Port Louis,MU,-20.16194,57.49889,,Indian/Mauritius
204.195.189.29,204.195.189.29,204.195.0.0,Bamberg,South Carolina,US,33.2971,-81.03482,29003,America/New_York
2601:205:4484:c800::,2601:205:4484:c8ff:ffff:ffff:ffff:ffff,2601:205:4000::,Oakdale,California,US,37.76659,-120.84715,95361,America/Los_Angeles
2003:3be9:c000::,2003:3be9:ffff:ffff:ffff:ffff:ffff:ffff,2003:3be9:c000::,Amsterdam,North Holland,NL,52.37403,4.88969,1012,Europe/Amsterdam
2a0d:93cf:4000::,2a0d:93cf:7fff:ffff:ffff:ffff:ffff:ffff,2a0d:93cf:4000::,Amsterdam,North Holland,NL,52.37403,4.88969,1012,Europe/Amsterdam
2409:4072:2e09:df00::,2409:4072:2e09:dfff:ffff:ffff:ffff:ffff,2409:4072::,Vriddhāchalam,Tamil Nadu,IN,11.5183,79.32411,606001,Asia/Kolkata
240a:61:21cc:2800::,240a:61:21cc:28ff:ffff:ffff:ffff:ffff,240a:61::,Ōzu,Kumamoto,JP,32.8804,130.87161,869-1115,Asia/Tokyo
78.204.201.0,78.204.201.127,78.204.0.0,Strasbourg,Grand Est,FR,48.58392,7.74553,67000,Europe/Paris
172.172.171.0,172.172.171.31,172.172.0.0,Sterling,Virginia,US,39.00622,-77.4286,20163,America/New_York
67.178.12.223,67.178.12.223,67.178.0.0,Ashburn,Virginia,US,39.04372,-77.48749,20147,America/New_York
240e:35f:97c:900::,240e:35f:97c:9ff:ffff:ffff:ffff:ffff,240e:35f::,Foshan,Guangdong,CN,23.02677,113.13148,528000,Asia/Shanghai
2605:c20d:8000::,2605:c20d:bfff:ffff:ffff:ffff:ffff:ffff,2605:c20d:8000::,New York City,New York,US,40.71427,-74.00597,10001,America/New_York
2411:5776::,2411:5776:3fff:ffff:ffff:ffff:ffff:ffff,2411:5776::,Sydney,New South Wales,AU,-33.86785,151.20732,1001,Australia/Sydney
2409:8962:39:8000::,2409:8962:39:ffff:ffff:ffff:ffff:ffff,2409:8962::,Shanghai,Shanghai,CN,31.22222,121.45806,200000,Asia/Shanghai
180.38.191.124,180.38.191.125,180.38.0.0,Asagaya-minami,Tokyo,JP,35.70206,139.63745,166-0000,Asia/Tokyo
147.161.7.164,147.161.7.167,147.161.0.0,Shipman,Illinois,US,39.11755,-90.04427,62685,America/Chicago
260e:80f1:8000::,260e:80f1:bfff:ffff:ffff:ffff:ffff:ffff,260e:80f1:8000::,New York City,New York,US,40.71427,-74.00597,10001,America/New_York
2405:11de:c000::,2405:11de:ffff:ffff:ffff:ffff:ffff:ffff,2405:11de:c000::,Sydney,New South Wales,AU,-33.86785,151.20732,1001,Australia/Sydney
117.227.117.248,117.227.117.251,117.227.0.0,Dīnhāta,West Bengal,IN,26.13526,89.46129,736135,Asia/Kolkata
61.120.129.193,61.120.129.194,61.120.0.0,Suzuka,Mie,JP,34.88333,136.58333,513-0034,Asia/Tokyo
2409:4061:2112:5400::,2409:4061:2112:54ff:ffff:ffff:ffff:ffff,2409:4061::,Bolpur,West Bengal,IN,23.66278,87.69695,731204,Asia/Kolkata
240e:333:3108:9000::,240e:333:3108:90ff:ffff:ffff:ffff:ffff,240e:333::,Chongqing,Chongqing,CN,29.56026,106.55771,401100,Asia/Shanghai
2409:cec6:c000::,2409:cec6:ffff:ffff:ffff:ffff:ffff:ffff,2409:cec6:c000::,Sydney,New South Wales,AU,-33.86785,151.20732,1001,Australia/Sydney
2c09:b4f::,2c09:b4f:3fff:ffff:ffff:ffff:ffff:ffff,2c09:b4f::,Port Louis,Port Louis,MU,-20.16194,57.49889,,Indian/Mauritius
280b:23dd:8000::,280b:23dd:bfff:ffff:ffff:ffff:ffff:ffff,280b:23dd:8000::,Montevideo,Montevideo Department,UY,-34.90328,-56.18816,11100,America/Montevideo
82.40.113.104,82.40.113.105,82.40.0.0,Newton Abbot,England,GB,50.52858,-3.61186,TQ12,Europe/London
2800:d90d:8000::,2800:d90d:bfff:ffff:ffff:ffff:ffff:ffff,2800:d90d:8000::,Montevideo,Montevideo Department,UY,-34.90328,-56.18816,11100,America/Montevideo
280c:ceb2:4000::,280c:ceb2:7fff:ffff:ffff:ffff:ffff:ffff,280c:ceb2:4000::,Montevideo,Montevideo Department,UY,-34.90328,-56.18816,11100,America/Montevideo
2415:cde8:c000::,2415:cde8:ffff:ffff:ffff:ffff:ffff:ffff,2415:cde8:c000::,Sydney,New South Wales,AU,-33.86785,151.20732,1001,Australia/Sydney
74.196.42.196,74.196.42.199,74.196.0.0,Saint Albans,West Virginia,US,38.38565,-81.83624,25177,America/New_York
217.165.245.37,217.165.245.37,217.165.0.0,Dubai,Dubai,AE,25.07725,55.30927,28506 74783,Asia/Dubai
153.236.60.166,153.236.60.167,153.236.0.0,Kurashiki,Okayama,JP,34.58333,133.76667,710-0824,Asia/Tokyo
2600:100c:b017:d000::,2600:100c:b017:d0ff:ffff:ffff:ffff:ffff,2600:100c:8000::,Austin,Texas,US,30.26715,-97.74306,78701,America/Chicago
260f:eec4:c000::,260f:eec4:ffff:ffff:ffff:ffff:ffff:ffff,260f:eec4:c000::,New York City,New York,US,40.71427,-74.00597,10001,America/New_York
81.172.65.80,81.172.65.87,81.172.0.0,Irun,Basque Country,ES,43.33904,-1.78938,20300,Europe/Madrid
2a11:fb80:39e:4b00::,2a11:fb80:39e:4dff:ffff:ffff:ffff:ffff,2a11:fb80::,Hamburg,Hamburg,DE,53.55073,9.99302,20038,Europe/Berlin
2409:4061:10b:aa00::,2409:4061:10b:aaff:ffff:ffff:ffff:ffff,2409:4061::,Bankra,West Bengal,IN,22.60291,88.27751,711403,Asia/Kolkata
240e:d2bd:c000::,240e:d2bd:ffff:ffff:ffff:ffff:ffff:ffff,240e:d2bd:c000::,Sydney,New South Wales,AU,-33.86785,151.20732,1001,Australia/Sydney
122.52.17.37,122.52.17.37,122.52.0.0,Manila,Metro Manila,PH,14.6042,120.9822,1001,Asia/Manila
2409:4081:e19:6400::,2409:4081:e19:64ff:ffff:ffff:ffff:ffff,2409:4081::,Roha,Maharashtra,IN,18.43687,73.11964,402109,Asia/Kolkata
212.33.233.46,212.33.233.46,212.33.0.0,Kondratovo,Perm Krai,RU,57.9804,56.1066,614506,Asia/Yekaterinburg
260e:2c7e:8000::,260e:2c7e:bfff:ffff:ffff:ffff:ffff:ffff,260e:2c7e:8000::,New York City,New York,US,40.71427,-74.00597,10001,America/New_York
2001:8608:4000::,2001:8608:7fff:ffff:ffff:ffff:ffff:ffff,2001:8608:4000::,Sydney,New South Wales,AU,-33.86785,151.20732,1001,Australia/Sydney
2a05:7740:c000::,2a05:7740:ffff:ffff:ffff:ffff:ffff:ffff,2a05:7740:c000::,Ravne na Koroškem,Ravne na Koroškem,SI,46.54306,14.96917,2390,Europe/Ljubljana
2a12:2991::,2a12:2991:3fff:ffff:ffff:ffff:ffff:ffff,2a12:2991::,Amsterdam,North Holland,NL,52.37403,4.88969,1012,Europe/Amsterdam
92.73.83.248,92.73.84.63,92.73.0.0,Köln,North Rhine-Westphalia,DE,50.93333,6.95,50667,Europe/Berlin
2632:accf:4000::,2632:accf:7fff:ffff:ffff:ffff:ffff:ffff,2632:accf:4000::,New York City,New York,US,40.71427,-74.00597,10001,America/New_York
90.80.140.192,90.80.140.223,90.80.0.0,Verdun,Grand Est,FR,49.15964,5.3829,55100,Europe/Paris
2638:8dee:8000::,2638:8dee:bfff:ffff:ffff:ffff:ffff:ffff,2638:8dee:8000::,New York City,New York,US,40.71427,-74.00597,10001,America/New_York
102.151.84.0,102.151.86.255,102.151.0.0,Lusaka,Lusaka Province,ZM,-15.40669,28.28713,,Africa/Lusaka
2a0a:9ccd::,2a0a:9ccd:3fff:ffff:ffff:ffff:ffff:ffff,2a0a:9ccd::,Amsterdam,North Holland,NL,52.37403,4.88969,1012,Europe/Amsterdam
62.18.241.8,62.18.241.9,62.18.0.0,Naples,Campania,IT,40.85216,14.26811,80100,Europe/Rome
2001:e60:9072:ca00::,2001:e60:9072:caff:ffff:ffff:ffff:ffff,2001:e60:8000::,Suwon,Gyeonggi-do,KR,37.29111,127.00889,16250,Asia/Seoul
2418:8249::,2418:8249:3fff:ffff:ffff:ffff:ffff:ffff,2418:8249::,Sydney,New South Wales,AU,-33.86785,151.20732,1001,Australia/Sydney
240c:2660::,240c:2660:3fff:ffff:ffff:ffff:ffff:ffff,240c:2660::,Sydney,New South Wales,AU,-33.86785,151.20732,1001,Australia/Sydney
2400:6e4f:c000::,2400:6e4f:ffff:ffff:ffff:ffff:ffff:ffff,2400:6e4f:c000::,Sydney,New South Wales,AU,-33.86785,151.20732,1001,Australia/Sydney
2606:c640:7b86::,2606:c640:7b96:ffff:ffff:ffff:ffff:ffff,2606:c640:4000::,Montrose,Virginia,US,37.4638,-77.398,23229,America/New_York
2a03:a1d5:4000::,2a03:a1d5:7fff:ffff:ffff:ffff:ffff:ffff,2a03:a1d5:4000::,Amsterdam,North Holland,NL,52.37403,4.88969,1012,Europe/Amsterdam
195.50.145.64,195.50.145.87,195.50.0.0,Eschborn,Hesse,DE,50.14328,8.57111,65760,Europe/Berlin
189.213.114.148,189.213.114.151,189.213.0.0,Monterrey,Nuevo León,MX,25.67507,-100.31847,64720,America/Monterrey
2402:3a80:422a:a000::,2402:3a80:422a:a0ff:ffff:ffff:ffff:ffff,2402:3a80:4000::,Palakkad,Kerala,IN,10.77319,76.65366,678001,Asia/Kolkata
2a09:bac5:27b3:246e::,2a09:bac5:27b3:246e:ffff:ffff:ffff:ffff,2a09:bac5::,Frankfurt am Main,Hesse,DE,50.11552,8.68417,60306,Europe/Berlin
280c:a946::,280c:a946:3fff:ffff:ffff:ffff:ffff:ffff,280c:a946::,Montevideo,Montevideo Department,UY,-34.90328,-56.18816,11100,America/Montevideo
2a0b:e985:c000::,2a0b:e985:ffff:ffff:ffff:ffff:ffff:ffff,2a0b:e985:c000::,Tyarlevo,St.-Petersburg,RU,59.7513,30.4766,196240,Europe/Moscow
179.119.197.116,179.119.197.120,179.119.0.0,Campinas,São Paulo,BR,-22.90556,-47.06083,13000-000,America/Sao_Paulo
2a1e:fb83:c000::,2a1e:fb83:ffff:ffff:ffff:ffff:ffff:ffff,2a1e:fb83:c000::,Amsterdam,North Holland,NL,52.37403,4.88969,1012,Europe/Amsterdam
2001:920:6819::,2001:920:681a:ffff:ffff:ffff:ffff:ffff,2001:920:4000::,City of London,England,GB,51.51279,-0.09184,E1W,Europe/London
2409:408d:3c9b:c000::,2409:408d:3c9b:c0ff:ffff:ffff:ffff:ffff,2409:408d::,Madurai,Tamil Nadu,IN,9.919,78.11953,625002,Asia/Kolkata
2601:ef81::,2601:ef81:3fff:ffff:ffff:ffff:ffff:ffff,2601:ef81::,New York City,New York,US,40.71427,-74.00597,10001,America/New_York
2003:49:a031::,2003:49:a031:ffff:ffff:ffff:ffff:ffff,2003:49:8000::,Bremen,Bremen,DE,53.1667,8.6167,27809,Europe/Berlin
2a13:73c7::,2a13:73c7::ffff:ffff:ffff:ffff,2a13:73c7::,Samara,Samara Oblast,RU,53.20007,50.15,446393,Europe/Samara
176.249.197.214,176.249.197.215,176.249.0.0,Chesterfield,England,GB,53.25,-1.41667,S49,Europe/London
213.216.92.0,213.216.102.72,213.216.0.0,Warsaw,Mazovia,PL,52.22977,21.01178,00-002,Europe/Warsaw
20.119.113.56,20.119.113.59,20.119.0.0,Sterling,Virginia,US,39.00622,-77.4286,20163,America/New_York
90.212.53.160,90.212.53.161,90.212.0.0,Weston-super-Mare,England,GB,51.34603,-2.97665,BS23,Europe/London
2635:60b7::,2635:60b7:3fff:ffff:ffff:ffff:ffff:ffff,2635:60b7::,New York City,New York,US,40.71427,-74.00597,10001,America/New_York
69.145.214.118,69.145.214.125,69.145.0.0,Riverton,Wyoming,US,43.02496,-108.3801,82501,America/Denver
2401:4900:234b:6700::,2401:4900:234b:6cff:ffff:ffff:ffff:ffff,2401:4900::,Chennai,Tamil Nadu,IN,13.08784,80.27847,600001,Asia/Kolkata
240e:333:c512:561f::,240e:333:c512:561f:ffff:ffff:ffff:ffff,240e:333:c000::,Chengdu,Sichuan,CN,30.66667,104.06667,610000,Asia/Shanghai
2a01:5a00:4000:1::,2a01:5a00:4000:1:ffff:ffff:ffff:ffff,2a01:5a00:4000::,Jambes,Wallonia,BE,50.45636,4.87166,5100,Europe/Brussels
177.78.60.145,177.78.60.145,177.78.0.0,São Paulo,São Paulo,BR,-23.5475,-46.63611,01000-000,America/Sao_Paulo
